sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
03N5161	1	Plate5	22FWCTLT4	ILLUMINA	7	03N5161	03N5161_Plate5	data/fastqs/LOSH_003/L_03N5161_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_03N5161_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2240191.267	2175124.639
03N5162	1	Plate5	22FWCTLT4	ILLUMINA	7	03N5162	03N5162_Plate5	data/fastqs/LOSH_003/L_03N5162_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_03N5162_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2212347.208	2148598.913
03N5163	1	Plate6	22FWCTLT4	ILLUMINA	8	03N5163	03N5163_Plate6	data/fastqs/LOSH_004/L_03N5163_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_03N5163_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2828774.256	2788810.91
03N5164	1	Plate5	22FWCTLT4	ILLUMINA	7	03N5164	03N5164_Plate5	data/fastqs/LOSH_003/L_03N5164_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_03N5164_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2562709.764	2502663.787
05N6695	1	Plate5	22FWCTLT4	ILLUMINA	7	05N6695	05N6695_Plate5	data/fastqs/LOSH_003/L_05N6695_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_05N6695_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3100738.663	3026282.319
05N7299	1	Plate5	22FWCTLT4	ILLUMINA	7	05N7299	05N7299_Plate5	data/fastqs/LOSH_003/L_05N7299_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_05N7299_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3450759.178	3370848.054
06N13059	1	Plate6	22FWCTLT4	ILLUMINA	8	06N13059	06N13059_Plate6	data/fastqs/LOSH_004/L_06N13059_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_06N13059_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3562202.795	3511603.444
06N21061	1	Plate6	22FWCTLT4	ILLUMINA	8	06N21061	06N21061_Plate6	data/fastqs/LOSH_004/L_06N21061_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_06N21061_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3452994.583	3304576.061
06N21075	1	Plate6	22FWCTLT4	ILLUMINA	8	06N21075	06N21075_Plate6	data/fastqs/LOSH_004/L_06N21075_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_004/L_06N21075_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	4053918.638	3926844.104
06N21083	1	Plate5	22FWCTLT4	ILLUMINA	7	06N21083	06N21083_Plate5	data/fastqs/LOSH_003/L_06N21083_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_003/L_06N21083_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3960046.288	3836032.709
