sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07319	WCF07319-novogene_202402-2	data/fastqs/novogene_202402/WCF07319/WCF07319_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07319/WCF07319_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	9105231.982	9247646.488
s0001	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07319	WCF07319-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07319/WCF07319_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07319/WCF07319_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	7526636.742	7461319.701
s0002	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07320	WCF07320-novogene_202402-4	data/fastqs/novogene_202402/WCF07320/WCF07320_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07320/WCF07320_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	7750025.959	8260616.746
s0002	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07320	WCF07320-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07320/WCF07320_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07320/WCF07320_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7323419.031	7612360.392
s0003	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07321	WCF07321-novogene_202402-2	data/fastqs/novogene_202402/WCF07321/WCF07321_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07321/WCF07321_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	8449964.467	9022591.1
s0003	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07321	WCF07321-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07321/WCF07321_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07321/WCF07321_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	7080554.59	7383588.191
s0004	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07322	WCF07322-novogene_202402-2	data/fastqs/novogene_202402/WCF07322/WCF07322_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07322/WCF07322_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	8711456.357	9089234.967
s0004	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07322	WCF07322-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07322/WCF07322_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07322/WCF07322_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	7020722.884	7139334.191
s0005	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07323	WCF07323-novogene_202402-2	data/fastqs/novogene_202402/WCF07323/WCF07323_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07323/WCF07323_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	7488087.888	8052151.357
s0005	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07323	WCF07323-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07323/WCF07323_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07323/WCF07323_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6487863.765	6818276.176
s0006	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07324	WCF07324-novogene_202402-4	data/fastqs/novogene_202402/WCF07324/WCF07324_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07324/WCF07324_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	4559173.758	4855540.491
s0006	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07324	WCF07324-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07324/WCF07324_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07324/WCF07324_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	10569864.668	10919851.186
s0007	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07325	WCF07325-novogene_202402-4	data/fastqs/novogene_202402/WCF07325/WCF07325_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07325/WCF07325_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	5946883.6	6158856.334
s0007	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07325	WCF07325-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07325/WCF07325_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07325/WCF07325_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	5551798.113	5603836.346
s0008	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07326	WCF07326-novogene_202402-3	data/fastqs/novogene_202402/WCF07326/WCF07326_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07326/WCF07326_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	6962450.329	7446153.721
s0008	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07326	WCF07326-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07326/WCF07326_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07326/WCF07326_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	6987096.574	7296318.758
s0009	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07327	WCF07327-novogene_202402-3	data/fastqs/novogene_202402/WCF07327/WCF07327_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07327/WCF07327_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	8332679.136	8837990.619
s0009	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07327	WCF07327-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07327/WCF07327_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07327/WCF07327_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	8219797.304	8415136.306
s0010	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07328	WCF07328-novogene_202402-3	data/fastqs/novogene_202402/WCF07328/WCF07328_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07328/WCF07328_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7308154.556	7721536.815
