sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	deroode1	HLYTNAFXY	ILLUMINA	4	02-77-SC	02-77-SC-deroode1-4	data/fastqs/deroode/02-77-SC_1.fq.gz	data/fastqs/deroode/02-77-SC_2.fq.gz	187513.36	195753.267
s0002	1	deroode1	HLYTNAFXY	ILLUMINA	4	03-77-SC	03-77-SC-deroode1-4	data/fastqs/deroode/03-77-SC_1.fq.gz	data/fastqs/deroode/03-77-SC_2.fq.gz	240373.351	230686.72
s0003	1	deroode1	HLYTNAFXY	ILLUMINA	3	04-77-SC	04-77-SC-deroode1-3	data/fastqs/deroode/04-77-SC_1.fq.gz	data/fastqs/deroode/04-77-SC_2.fq.gz	137328.347	147529.407
s0004	1	deroode1	HLYTNAFXY	ILLUMINA	3	05-77-SC	05-77-SC-deroode1-3	data/fastqs/deroode/05-77-SC_1.fq.gz	data/fastqs/deroode/05-77-SC_2.fq.gz	290022.445	300844.264
s0005	1	deroode1	HLYTNAFXY	ILLUMINA	3	07-77-SC	07-77-SC-deroode1-3	data/fastqs/deroode/07-77-SC_1.fq.gz	data/fastqs/deroode/07-77-SC_2.fq.gz	168841.49	180542.856
s0006	1	deroode1	HLYTNAFXY	ILLUMINA	3	08-77-SC	08-77-SC-deroode1-3	data/fastqs/deroode/08-77-SC_1.fq.gz	data/fastqs/deroode/08-77-SC_2.fq.gz	177587.694	188227.276
s0007	1	deroode4	AAAK73JM5	ILLUMINA	1	09_77	09_77-deroode4-1	data/fastqs/deroode/09_77_1.fq.gz	data/fastqs/deroode/09_77_2.fq.gz	2785726.281	2871224.455
s0008	1	deroode1	HLYTNAFXY	ILLUMINA	1	10-77-SC	10-77-SC-deroode1-1	data/fastqs/deroode/10-77-SC_1.fq.gz	data/fastqs/deroode/10-77-SC_2.fq.gz	195005.873	202173.829
s0009	1	deroode2	HLTC7AFXY	ILLUMINA	1	1026	1026-deroode2-1	data/fastqs/deroode/1026_1.fq.gz	data/fastqs/deroode/1026_2.fq.gz	2497125.741	2605227.898
s0010	1	deroode2	HLTC7AFXY	ILLUMINA	1	1027	1027-deroode2-1	data/fastqs/deroode/1027_1.fq.gz	data/fastqs/deroode/1027_2.fq.gz	2390922.696	2500366.927
s0011	1	deroode5	AAAKJL3M5	ILLUMINA	1	11_77	11_77-deroode5-1	data/fastqs/deroode/11_77_1.fq.gz	data/fastqs/deroode/11_77_2.fq.gz	2193192.164	2215447.69
s0012	1	deroode6	AAAJVLMM5	ILLUMINA	1	15_77	15_77-deroode6-1	data/fastqs/deroode/15_77_1.fq.gz	data/fastqs/deroode/15_77_2.fq.gz	4590657.469	4768443.253
s0013	1	deroode6	AAAJVLMM5	ILLUMINA	1	424	424-deroode6-1	data/fastqs/deroode/424_1.fq.gz	data/fastqs/deroode/424_2.fq.gz	4178813.585	4352977.339
s0014	1	deroode4	AAAK73JM5	ILLUMINA	1	593	593-deroode4-1	data/fastqs/deroode/593_1.fq.gz	data/fastqs/deroode/593_2.fq.gz	3152562.281	3269096.944
s0015	1	deroode7	AAAJVLNM5	ILLUMINA	1	605	605-deroode7-1	data/fastqs/deroode/605_1.fq.gz	data/fastqs/deroode/605_2.fq.gz	2713028.696	2841079.048
s0016	1	deroode5	AAAKJL3M5	ILLUMINA	1	718	718-deroode5-1	data/fastqs/deroode/718_1.fq.gz	data/fastqs/deroode/718_2.fq.gz	3550055.99	3636915.666
s0017	1	deroode6	AAAJVLMM5	ILLUMINA	1	720	720-deroode6-1	data/fastqs/deroode/720_1.fq.gz	data/fastqs/deroode/720_2.fq.gz	2623294.885	2709846.961
s0018	1	deroode7	AAAJVLNM5	ILLUMINA	1	726	726-deroode7-1	data/fastqs/deroode/726_1.fq.gz	data/fastqs/deroode/726_2.fq.gz	8281540.745	8596312.148
s0019	1	deroode3	HM3NJAFXY	ILLUMINA	4	731-2699	731-2699-deroode3-4	data/fastqs/deroode/731-2699_1.fq.gz	data/fastqs/deroode/731-2699_2.fq.gz	825571.897	892881.406
s0020	1	deroode3	HM3NJAFXY	ILLUMINA	4	733-2699	733-2699-deroode3-4	data/fastqs/deroode/733-2699_1.fq.gz	data/fastqs/deroode/733-2699_2.fq.gz	321554.392	335050.816
s0021	1	deroode3	HM3NJAFXY	ILLUMINA	4	737-2699	737-2699-deroode3-4	data/fastqs/deroode/737-2699_1.fq.gz	data/fastqs/deroode/737-2699_2.fq.gz	192148.962	201102.983
