sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
AR_SV_2023_01	1	Plate4	22M5VMLT4	ILLUMINA	3	AR_SV_2023_01	AR_SV_2023_01-Plate4-3	data/fastqs/wm152/AR_SV_2023_01_1.fq.gz	data/fastqs/wm152/AR_SV_2023_01_2.fq.gz	1227241.248	1249810.516
AS_ID_2022_01	1	Plate1	HCVC5DSX7	ILLUMINA	3	AS_ID_2022_01	AS_ID_2022_01-Plate1-3	data/fastqs/wm152/AS_ID_2022_01_1.fq.gz	data/fastqs/wm152/AS_ID_2022_01_2.fq.gz	1499121.883	1582469.104
AS_ID_2022_02	1	Plate2	22HM5LLT4	ILLUMINA	4	AS_ID_2022_02	AS_ID_2022_02-Plate2-4	data/fastqs/wm152/AS_ID_2022_02_1.fq.gz	data/fastqs/wm152/AS_ID_2022_02_2.fq.gz	1370474.442	1338865.029
Adult1_RC_OR_22	1	Plate1	HCVC5DSX7	ILLUMINA	3	Adult1_RC_OR_22	Adult1_RC_OR_22-Plate1-3	data/fastqs/wm152/Adult1_RC_OR_22_1.fq.gz	data/fastqs/wm152/Adult1_RC_OR_22_2.fq.gz	1036212.923	1106751.713
Adult2_RC_OR_22	1	Plate1	HCVC5DSX7	ILLUMINA	3	Adult2_RC_OR_22	Adult2_RC_OR_22-Plate1-3	data/fastqs/wm152/Adult2_RC_OR_22_1.fq.gz	data/fastqs/wm152/Adult2_RC_OR_22_2.fq.gz	1021667.78	1065455.643
Adult3_RC_OR_22	1	Plate1	HCVC5DSX7	ILLUMINA	3	Adult3_RC_OR_22	Adult3_RC_OR_22-Plate1-3	data/fastqs/wm152/Adult3_RC_OR_22_1.fq.gz	data/fastqs/wm152/Adult3_RC_OR_22_2.fq.gz	1227488.985	1275089.498
BV_CROR_2023_01	1	Plate3	22HVG3LT4	ILLUMINA	7	BV_CROR_2023_01	BV_CROR_2023_01-Plate3-7	data/fastqs/wm152/BV_CROR_2023_01_1.fq.gz	data/fastqs/wm152/BV_CROR_2023_01_2.fq.gz	1359779.67	1344646.913
BV_CROR_2023_02	1	Plate3	22HVG3LT4	ILLUMINA	7	BV_CROR_2023_02	BV_CROR_2023_02-Plate3-7	data/fastqs/wm152/BV_CROR_2023_02_1.fq.gz	data/fastqs/wm152/BV_CROR_2023_02_2.fq.gz	1706124.772	1727604.396
CB_10_17_22_02	1	Plate1	HCVC5DSX7	ILLUMINA	3	CB_10_17_22_02	CB_10_17_22_02-Plate1-3	data/fastqs/wm152/CB_10_17_22_02_1.fq.gz	data/fastqs/wm152/CB_10_17_22_02_2.fq.gz	1444670.86	1517172.135
CB_10_17_22_02_2	1	Plate1	HCVC5DSX7	ILLUMINA	3	CB_10_17_22_02_2	CB_10_17_22_02_2-Plate1-3	data/fastqs/wm152/CB_10_17_22_02_2_1.fq.gz	data/fastqs/wm152/CB_10_17_22_02_2_2.fq.gz	1405968.703	1506041.862
EB_MOD_2022_01	1	Plate1	HCVC5DSX7	ILLUMINA	3	EB_MOD_2022_01	EB_MOD_2022_01-Plate1-3	data/fastqs/wm152/EB_MOD_2022_01_1.fq.gz	data/fastqs/wm152/EB_MOD_2022_01_2.fq.gz	1383958.345	1458173.034
EG_SV_2023_01	1	Plate3	22HVG3LT4	ILLUMINA	7	EG_SV_2023_01	EG_SV_2023_01-Plate3-7	data/fastqs/wm152/EG_SV_2023_01_1.fq.gz	data/fastqs/wm152/EG_SV_2023_01_2.fq.gz	1413723.32	1407187.914
EP_OR_2022_01	1	Plate1	HCVC5DSX7	ILLUMINA	3	EP_OR_2022_01	EP_OR_2022_01-Plate1-3	data/fastqs/wm152/EP_OR_2022_01_1.fq.gz	data/fastqs/wm152/EP_OR_2022_01_2.fq.gz	1486616.801	1528871.019
EP_OR_2022_02	1	Plate1	HCVC5DSX7	ILLUMINA	3	EP_OR_2022_02	EP_OR_2022_02-Plate1-3	data/fastqs/wm152/EP_OR_2022_02_1.fq.gz	data/fastqs/wm152/EP_OR_2022_02_2.fq.gz	1427171.298	1481869.118
EP_OR_2022_03	1	Plate1	HCVC5DSX7	ILLUMINA	3	EP_OR_2022_03	EP_OR_2022_03-Plate1-3	data/fastqs/wm152/EP_OR_2022_03_1.fq.gz	data/fastqs/wm152/EP_OR_2022_03_2.fq.gz	1329390.146	1376600.157
