chrom	num_bases
CM071567.1	330573056
CM071568.1	306271277
CM071569.1	286052345
CM071570.1	248248485
CM071571.1	196849571
CM071572.1	92226477
CM071573.1	80412226
CM071574.1	76695647
CM071575.1	49864676
CM071576.1	45587745
CM071577.1	30836736
CM071578.1	30792743
CM071579.1	30360766
CM071580.1	27883249
CM071581.1	27066649
CM071582.1	25563010
CM071583.1	19915241
CM071584.1	18745812
CM071585.1	16915524
CM071586.1	13257447
CM071587.1	11539842
CM071588.1	11220239
