id	chrom	len	cumul
scaff_group_001	WSYH01000023.1	789609	789609
scaff_group_001	WSYH01000032.1	431972	1221581
scaff_group_001	WSYH01000122.1	320350	1541931
scaff_group_001	WSYH01001022.1	145899	1687830
scaff_group_001	WSYH01001023.1	145683	1833513
scaff_group_001	WSYH01001024.1	145591	1979104
scaff_group_001	WSYH01001025.1	145580	2124684
scaff_group_001	WSYH01001026.1	145556	2270240
scaff_group_001	WSYH01001027.1	145547	2415787
scaff_group_001	WSYH01001028.1	145541	2561328
scaff_group_001	WSYH01001029.1	145514	2706842
scaff_group_001	WSYH01001030.1	145511	2852353
scaff_group_001	WSYH01001031.1	145340	2997693
scaff_group_001	WSYH01000123.1	320110	3317803
scaff_group_001	WSYH01001032.1	145323	3463126
scaff_group_001	WSYH01001033.1	145278	3608404
scaff_group_001	WSYH01001034.1	145240	3753644
scaff_group_001	WSYH01001035.1	145230	3898874
scaff_group_001	WSYH01001036.1	145154	4044028
scaff_group_001	WSYH01001037.1	145142	4189170
scaff_group_001	WSYH01001038.1	145133	4334303
scaff_group_001	WSYH01001039.1	145084	4479387
scaff_group_001	WSYH01001040.1	145049	4624436
scaff_group_001	WSYH01001041.1	144941	4769377
scaff_group_001	WSYH01000124.1	319994	5089371
scaff_group_001	WSYH01001042.1	144933	5234304
scaff_group_001	WSYH01001043.1	144897	5379201
scaff_group_001	WSYH01001044.1	144893	5524094
scaff_group_001	WSYH01001045.1	144876	5668970
scaff_group_001	WSYH01001046.1	144750	5813720
scaff_group_001	WSYH01001047.1	144742	5958462
scaff_group_001	WSYH01001048.1	144695	6103157
scaff_group_001	WSYH01001049.1	144531	6247688
scaff_group_001	WSYH01001050.1	144353	6392041
scaff_group_001	WSYH01001051.1	144027	6536068
scaff_group_001	WSYH01000125.1	318992	6855060
scaff_group_001	WSYH01001052.1	143966	6999026
scaff_group_001	WSYH01001053.1	143913	7142939
scaff_group_001	WSYH01001054.1	143866	7286805
scaff_group_001	WSYH01001055.1	143766	7430571
scaff_group_001	WSYH01001056.1	143697	7574268
scaff_group_001	WSYH01001057.1	143569	7717837
scaff_group_001	WSYH01001058.1	143503	7861340
scaff_group_001	WSYH01001059.1	143479	8004819
scaff_group_001	WSYH01001060.1	143335	8148154
scaff_group_001	WSYH01001061.1	143167	8291321
scaff_group_001	WSYH01000126.1	318873	8610194
scaff_group_001	WSYH01001062.1	143117	8753311
scaff_group_001	WSYH01001063.1	143071	8896382
scaff_group_001	WSYH01001064.1	143058	9039440
scaff_group_001	WSYH01001065.1	143010	9182450
