id	scatter_idx	chrom	start	end	scatter_length
CM071567.1	scat_0001	CM071567.1	1	4933927	4933927
CM071567.1	scat_0002	CM071567.1	4933928	9867854	4933927
CM071567.1	scat_0003	CM071567.1	9867855	14801781	4933927
CM071567.1	scat_0004	CM071567.1	14801782	19735708	4933927
CM071567.1	scat_0005	CM071567.1	19735709	24669635	4933927
CM071567.1	scat_0006	CM071567.1	24669636	29603562	4933927
CM071567.1	scat_0007	CM071567.1	29603563	34537489	4933927
CM071567.1	scat_0008	CM071567.1	34537490	39471416	4933927
CM071567.1	scat_0009	CM071567.1	39471417	44405343	4933927
CM071567.1	scat_0010	CM071567.1	44405344	49339270	4933927
CM071567.1	scat_0011	CM071567.1	49339271	54273197	4933927
CM071567.1	scat_0012	CM071567.1	54273198	59207124	4933927
CM071567.1	scat_0013	CM071567.1	59207125	64141051	4933927
CM071567.1	scat_0014	CM071567.1	64141052	69074978	4933927
CM071567.1	scat_0015	CM071567.1	69074979	74008905	4933927
CM071567.1	scat_0016	CM071567.1	74008906	78942832	4933927
CM071567.1	scat_0017	CM071567.1	78942833	83876759	4933927
CM071567.1	scat_0018	CM071567.1	83876760	88810686	4933927
CM071567.1	scat_0019	CM071567.1	88810687	93744613	4933927
CM071567.1	scat_0020	CM071567.1	93744614	98678540	4933927
CM071567.1	scat_0021	CM071567.1	98678541	103612467	4933927
CM071567.1	scat_0022	CM071567.1	103612468	108546394	4933927
CM071567.1	scat_0023	CM071567.1	108546395	113480321	4933927
CM071567.1	scat_0024	CM071567.1	113480322	118414248	4933927
CM071567.1	scat_0025	CM071567.1	118414249	123348175	4933927
CM071567.1	scat_0026	CM071567.1	123348176	128282102	4933927
CM071567.1	scat_0027	CM071567.1	128282103	133216029	4933927
CM071567.1	scat_0028	CM071567.1	133216030	138149956	4933927
CM071567.1	scat_0029	CM071567.1	138149957	143083883	4933927
CM071567.1	scat_0030	CM071567.1	143083884	148017810	4933927
CM071567.1	scat_0031	CM071567.1	148017811	152951737	4933927
CM071567.1	scat_0032	CM071567.1	152951738	157885664	4933927
CM071567.1	scat_0033	CM071567.1	157885665	162819591	4933927
CM071567.1	scat_0034	CM071567.1	162819592	167753518	4933927
CM071567.1	scat_0035	CM071567.1	167753519	172687445	4933927
